text,label
請暫時記住我下午有會議,store_in_stm
幫我記住現在的位置是台北市中正區,store_in_stm
請短時間記住我的密碼是123456,store_in_stm
等等再提醒我這件事,store_in_stm
請暫時儲存這個地址,store_in_stm
請記住我最喜歡的食物是壽司,store_in_ltm
永遠記得我養了一隻叫豆豆的狗,store_in_ltm
我的生日是7月5日，請保存這個資訊,store_in_ltm
幫我把這條訊息存入長期記憶,store_in_ltm
請長期記住我喜歡旅遊,store_in_ltm
你記得我剛才說的話嗎？,retrieve_stm
剛剛我講了什麼？,retrieve_stm
可以告訴我之前說的內容嗎？,retrieve_stm
你還記得我們上次的對話嗎？,retrieve_stm
回想一下我們剛才談了什麼,retrieve_stm
你知道我喜歡什麼樣的電影嗎？,retrieve_ltm
你還記得我以前說我怕高嗎？,retrieve_ltm
我過去說過我討厭吃香菜，你記得嗎？,retrieve_ltm
你知道我家的地址是什麼嗎？,retrieve_ltm
你記得我曾經說過的旅行經驗嗎？,retrieve_ltm
講個笑話來聽聽,none
今天天氣怎麼樣？,none
設定一個鬧鐘在七點,none
幫我查一下台北到台中的高鐵時刻,none
現在時間幾點？,none
